Auth1,Auth2
"Richt,J.A.",",Sonoda,S."
"Kitze,B.","Takigawa,M"
"Kitze,B.",",Sonoda,S."
"Takigawa,M",",Sonoda,S."
"Iwai,H.","Yamashita,Y."
"Iwai,H.","Nishi,N."
"Iwai,H.","Arai,K."
"Yamashita,Y.","Nishi,N."
"Yamashita,Y.","Arai,K."
"Nishi,N.","Arai,K."
"Ma,S.","Arakaki,S."
"Ma,S.","Makino,Y."
"Ma,S.","Fukunaga,T."
"Arakaki,S.","Makino,Y."
"Arakaki,S.","Fukunaga,T."
"Makino,Y.","Fukunaga,T."
"Hata,A.","Mukai,T."
"Hata,A.","Isegawa,Y."
"Hata,A.","Yamanishi,K."
"Mukai,T.","Isegawa,Y."
"Mukai,T.","Yamanishi,K."
"Isegawa,Y.","Yamanishi,K."
"Takase-Yoden,S.","Watanabe,R."
"Asahi,Y.","Sugawara,K."
"Asahi,Y.","Muraki,Y."
"Asahi,Y.","Hongo,S."
"Asahi,Y.","Kitame,F."
"Asahi,Y.","Nakamura,K."
"Sugawara,K.","Muraki,Y."
"Sugawara,K.","Hongo,S."
"Sugawara,K.","Kitame,F."
"Sugawara,K.","Nakamura,K."
"Muraki,Y.","Hongo,S."
"Muraki,Y.","Kitame,F."
"Muraki,Y.","Nakamura,K."
"Hongo,S.","Kitame,F."
"Hongo,S.","Nakamura,K."
"Kitame,F.","Nakamura,K."
"Kirisawa,R.","Kobayashi,T."
"Kirisawa,R.","Kawakami,Y."
"Kirisawa,R.","Iwai,H."
"Kobayashi,T.","Kawakami,Y."
"Kobayashi,T.","Iwai,H."
"Kawakami,Y.","Iwai,H."
"Kirisawa,R.","Kobayashi,T."
"Kirisawa,R.","Kawakami,Y."
"Kirisawa,R.","Iwai,H."
"Kobayashi,T.","Kawakami,Y."
"Kobayashi,T.","Iwai,H."
"Kawakami,Y.","Iwai,H."
"Kirisawa,R.","Kobayashi,T."
"Kirisawa,R.","Kawakami,Y."
"Kirisawa,R.","Iwai,H."
"Kobayashi,T.","Kawakami,Y."
"Kobayashi,T.","Iwai,H."
"Kawakami,Y.","Iwai,H."
"Liu,Y.-L.","Cai,J."
"Liu,Y.-L.","Li,D."
"Liu,Y.-L.","Qin,B."
"Liu,Y.-L.","Tien,P."
"Cai,J.","Li,D."
"Cai,J.","Qin,B."
"Cai,J.","Tien,P."
"Li,D.","Qin,B."
"Li,D.","Tien,P."
"Qin,B.","Tien,P."
"Okamoto,Y.","Shiosaki,K."
"Okamoto,Y.","Eda,Y."
"Okamoto,Y.","Tokiyoshi,S."
"Okamoto,Y.","Yamaguchi,Y."
"Okamoto,Y.","Gojobori,T."
"Okamoto,Y.","Hachimori,T."
"Okamoto,Y.","Yamazaki,S."
"Okamoto,Y.","Honda,M."
"Shiosaki,K.","Eda,Y."
"Shiosaki,K.","Tokiyoshi,S."
"Shiosaki,K.","Yamaguchi,Y."
"Shiosaki,K.","Gojobori,T."
"Shiosaki,K.","Hachimori,T."
"Shiosaki,K.","Yamazaki,S."
"Shiosaki,K.","Honda,M."
"Eda,Y.","Tokiyoshi,S."
"Eda,Y.","Yamaguchi,Y."
"Eda,Y.","Gojobori,T."
"Eda,Y.","Hachimori,T."
"Eda,Y.","Yamazaki,S."
"Eda,Y.","Honda,M."
"Tokiyoshi,S.","Yamaguchi,Y."
"Tokiyoshi,S.","Gojobori,T."
"Tokiyoshi,S.","Hachimori,T."
"Tokiyoshi,S.","Yamazaki,S."
"Tokiyoshi,S.","Honda,M."
"Yamaguchi,Y.","Gojobori,T."
"Yamaguchi,Y.","Hachimori,T."
"Yamaguchi,Y.","Yamazaki,S."
"Yamaguchi,Y.","Honda,M."
"Gojobori,T.","Hachimori,T."
"Gojobori,T.","Yamazaki,S."
"Gojobori,T.","Honda,M."
"Hachimori,T.","Yamazaki,S."
"Hachimori,T.","Honda,M."
"Yamazaki,S.","Honda,M."
"Olaleye,D.O.","Sheng,Z."
"Olaleye,D.O.","Howard,T.M."
"Olaleye,D.O.","Rasheed,S."
"Sheng,Z.","Howard,T.M."
"Sheng,Z.","Rasheed,S."
"Howard,T.M.","Rasheed,S."
"Baylot,F.","Moynet,D.J."
"Baylot,F.","Guillemain,B."
"Moynet,D.J.","Guillemain,B."
"Baylot,F.","Moynet,D.J."
"Baylot,F.","Guillemain,B."
"Moynet,D.J.","Guillemain,B."
"Georges-Gobinet,A.","Moynet,D.J."
"Georges-Gobinet,A.","Guillemain,B."
"Moynet,D.J.","Guillemain,B."
"Baylot,F.","Edouard,E."
"Baylot,F.","Moynet,D.J."
"Baylot,F.","Guillemain,B."
"Edouard,E.","Moynet,D.J."
"Edouard,E.","Guillemain,B."
"Moynet,D.J.","Guillemain,B."
"de la Torre,J.C.","Bode,L."
"de la Torre,J.C.","Durrwald,R."
"de la Torre,J.C.","Cubitt,B."
"de la Torre,J.C.","Ludwig,H."
"Bode,L.","Durrwald,R."
"Bode,L.","Cubitt,B."
"Bode,L.","Ludwig,H."
"Durrwald,R.","Cubitt,B."
"Durrwald,R.","Ludwig,H."
"Cubitt,B.","Ludwig,H."
"Arens,M.Q.","Ratner,L."
"Arens,M.Q.","Joseph,T."
"Arens,M.Q.","Bandres,J."
"Ratner,L.","Joseph,T."
"Ratner,L.","Bandres,J."
"Joseph,T.","Bandres,J."
"Guan,Y.","Shortridge,K.F."
"Guan,Y.","Krauss,S."
"Guan,Y.","Li,P.H."
"Guan,Y.","Kawaoka,Y."
"Guan,Y.","Webster,R.G."
"Shortridge,K.F.","Krauss,S."
"Shortridge,K.F.","Li,P.H."
"Shortridge,K.F.","Kawaoka,Y."
"Shortridge,K.F.","Webster,R.G."
"Krauss,S.","Li,P.H."
"Krauss,S.","Kawaoka,Y."
"Krauss,S.","Webster,R.G."
"Li,P.H.","Kawaoka,Y."
"Li,P.H.","Webster,R.G."
"Kawaoka,Y.","Webster,R.G."
"Dall,D.J.","Osborne,R.J."
"Dall,D.J.","Sriskantha,A."
"Dall,D.J.","Symonds,T.M."
"Osborne,R.J.","Sriskantha,A."
"Osborne,R.J.","Symonds,T.M."
"Sriskantha,A.","Symonds,T.M."
"Theilmann,D.A.","Stewart,S."
"de Lamballerie,X.","Charrel,R.N."
"de Lamballerie,X.","Abed,Y."
"de Lamballerie,X.","Biagini,P."
"de Lamballerie,X.","Cantaloube,J.F."
"de Lamballerie,X.","de Micco,P.H."
"Charrel,R.N.","Abed,Y."
"Charrel,R.N.","Biagini,P."
"Charrel,R.N.","Cantaloube,J.F."
"Charrel,R.N.","de Micco,P.H."
"Abed,Y.","Biagini,P."
"Abed,Y.","Cantaloube,J.F."
"Abed,Y.","de Micco,P.H."
"Biagini,P.","Cantaloube,J.F."
"Biagini,P.","de Micco,P.H."
"Cantaloube,J.F.","de Micco,P.H."
"Dube,S.","Bachman,S."
"Dube,S.","Spicer,T."
"Dube,S.","Love,J."
"Dube,S.","Esteban,E."
"Dube,S.","Ferrer,J."
"Dube,S.","Poiesz,B.J."
"Bachman,S.","Spicer,T."
"Bachman,S.","Love,J."
"Bachman,S.","Esteban,E."
"Bachman,S.","Ferrer,J."
"Bachman,S.","Poiesz,B.J."
"Spicer,T.","Love,J."
"Spicer,T.","Esteban,E."
"Spicer,T.","Ferrer,J."
"Spicer,T.","Poiesz,B.J."
"Love,J.","Esteban,E."
"Love,J.","Ferrer,J."
"Love,J.","Poiesz,B.J."
"Esteban,E.","Ferrer,J."
"Esteban,E.","Poiesz,B.J."
"Ferrer,J.","Poiesz,B.J."
"Dube,S.","Bachman,S."
"Dube,S.","Spicer,T."
"Dube,S.","Love,J."
"Dube,S.","Esteban,E."
"Dube,S.","Ferrer,J."
"Dube,S.","Poiesz,B.J."
"Bachman,S.","Spicer,T."
"Bachman,S.","Love,J."
"Bachman,S.","Esteban,E."
"Bachman,S.","Ferrer,J."
"Bachman,S.","Poiesz,B.J."
"Spicer,T.","Love,J."
"Spicer,T.","Esteban,E."
"Spicer,T.","Ferrer,J."
"Spicer,T.","Poiesz,B.J."
"Love,J.","Esteban,E."
"Love,J.","Ferrer,J."
"Love,J.","Poiesz,B.J."
"Esteban,E.","Ferrer,J."
"Esteban,E.","Poiesz,B.J."
"Ferrer,J.","Poiesz,B.J."
"Dube,S.","Bachman,S."
"Dube,S.","Spicer,T."
"Dube,S.","Love,J."
"Dube,S.","Esteban,E."
"Dube,S.","Ferrer,J."
"Dube,S.","Poiesz,B.J."
"Bachman,S.","Spicer,T."
"Bachman,S.","Love,J."
"Bachman,S.","Esteban,E."
"Bachman,S.","Ferrer,J."
"Bachman,S.","Poiesz,B.J."
"Spicer,T.","Love,J."
"Spicer,T.","Esteban,E."
"Spicer,T.","Ferrer,J."
"Spicer,T.","Poiesz,B.J."
"Love,J.","Esteban,E."
"Love,J.","Ferrer,J."
"Love,J.","Poiesz,B.J."
"Esteban,E.","Ferrer,J."
"Esteban,E.","Poiesz,B.J."
"Ferrer,J.","Poiesz,B.J."
"Ball,J.K.","Sheehy,N."
"Guan,Y.","Shortridge,K.F."
"Guan,Y.","Krauss,S."
"Guan,Y.","Li,P.H."
"Guan,Y.","Kawaoka,Y."
"Guan,Y.","Webster,R.G."
"Shortridge,K.F.","Krauss,S."
"Shortridge,K.F.","Li,P.H."
"Shortridge,K.F.","Kawaoka,Y."
"Shortridge,K.F.","Webster,R.G."
"Krauss,S.","Li,P.H."
"Krauss,S.","Kawaoka,Y."
"Krauss,S.","Webster,R.G."
"Li,P.H.","Kawaoka,Y."
"Li,P.H.","Webster,R.G."
"Kawaoka,Y.","Webster,R.G."
"Sherefa,K.","Johansson,B."
"Sherefa,K.","Sonnerborg,A."
