"Auth1","Auth2"
"Fung,K.","Nakatsuji,Y."
"Fung,K.","Shih,J.W."
"Fung,K.","Young,L."
"Fung,K.","Piatak,M"
"Fung,K.","Jr."
"Fung,K.","Hoover,C."
"Fung,K.","Fernandez,J."
"Fung,K.","Chen,S."
"Fung,K.","Zou,J.C."
"Fung,K.","Morris,T."
"Fung,K.","Hyams,K.C."
"Fung,K.","Ismay,S."
"Fung,K.","Lifson,J.D."
"Fung,K.","Hess,G."
"Fung,K.","Foung,S.K."
"Fung,K.","Thomas,H."
"Fung,K.","Bradley,D."
"Fung,K.","Margolis,H."
"Fung,K.","Kim,J.P."
"Nakatsuji,Y.","Shih,J.W."
"Nakatsuji,Y.","Young,L."
"Nakatsuji,Y.","Piatak,M"
"Nakatsuji,Y.","Jr."
"Nakatsuji,Y.","Hoover,C."
"Nakatsuji,Y.","Fernandez,J."
"Nakatsuji,Y.","Chen,S."
"Nakatsuji,Y.","Zou,J.C."
"Nakatsuji,Y.","Morris,T."
"Nakatsuji,Y.","Hyams,K.C."
"Nakatsuji,Y.","Ismay,S."
"Nakatsuji,Y.","Lifson,J.D."
"Nakatsuji,Y.","Hess,G."
"Nakatsuji,Y.","Foung,S.K."
"Nakatsuji,Y.","Thomas,H."
"Nakatsuji,Y.","Bradley,D."
"Nakatsuji,Y.","Margolis,H."
"Nakatsuji,Y.","Kim,J.P."
"Shih,J.W.","Young,L."
"Shih,J.W.","Piatak,M"
"Shih,J.W.","Jr."
"Shih,J.W.","Hoover,C."
"Shih,J.W.","Fernandez,J."
"Shih,J.W.","Chen,S."
"Shih,J.W.","Zou,J.C."
"Shih,J.W.","Morris,T."
"Shih,J.W.","Hyams,K.C."
"Shih,J.W.","Ismay,S."
"Shih,J.W.","Lifson,J.D."
"Shih,J.W.","Hess,G."
"Shih,J.W.","Foung,S.K."
"Shih,J.W.","Thomas,H."
"Shih,J.W.","Bradley,D."
"Shih,J.W.","Margolis,H."
"Shih,J.W.","Kim,J.P."
"Young,L.","Piatak,M"
"Young,L.","Jr."
"Young,L.","Hoover,C."
"Young,L.","Fernandez,J."
"Young,L.","Chen,S."
"Young,L.","Zou,J.C."
"Young,L.","Morris,T."
"Young,L.","Hyams,K.C."
"Young,L.","Ismay,S."
"Young,L.","Lifson,J.D."
"Young,L.","Hess,G."
"Young,L.","Foung,S.K."
"Young,L.","Thomas,H."
"Young,L.","Bradley,D."
"Young,L.","Margolis,H."
"Young,L.","Kim,J.P."
"Piatak,M","Jr."
"Piatak,M","Hoover,C."
"Piatak,M","Fernandez,J."
"Piatak,M","Chen,S."
"Piatak,M","Zou,J.C."
"Piatak,M","Morris,T."
"Piatak,M","Hyams,K.C."
"Piatak,M","Ismay,S."
"Piatak,M","Lifson,J.D."
"Piatak,M","Hess,G."
"Piatak,M","Foung,S.K."
"Piatak,M","Thomas,H."
"Piatak,M","Bradley,D."
"Piatak,M","Margolis,H."
"Piatak,M","Kim,J.P."
"Jr.","Hoover,C."
"Jr.","Fernandez,J."
"Jr.","Chen,S."
"Jr.","Zou,J.C."
"Jr.","Morris,T."
"Jr.","Hyams,K.C."
"Jr.","Ismay,S."
"Jr.","Lifson,J.D."
"Jr.","Hess,G."
"Jr.","Foung,S.K."
"Jr.","Thomas,H."
"Jr.","Bradley,D."
"Jr.","Margolis,H."
"Jr.","Kim,J.P."
"Hoover,C.","Fernandez,J."
"Hoover,C.","Chen,S."
"Hoover,C.","Zou,J.C."
"Hoover,C.","Morris,T."
"Hoover,C.","Hyams,K.C."
"Hoover,C.","Ismay,S."
"Hoover,C.","Lifson,J.D."
"Hoover,C.","Hess,G."
"Hoover,C.","Foung,S.K."
"Hoover,C.","Thomas,H."
"Hoover,C.","Bradley,D."
"Hoover,C.","Margolis,H."
"Hoover,C.","Kim,J.P."
"Fernandez,J.","Chen,S."
"Fernandez,J.","Zou,J.C."
"Fernandez,J.","Morris,T."
"Fernandez,J.","Hyams,K.C."
"Fernandez,J.","Ismay,S."
"Fernandez,J.","Lifson,J.D."
"Fernandez,J.","Hess,G."
"Fernandez,J.","Foung,S.K."
"Fernandez,J.","Thomas,H."
"Fernandez,J.","Bradley,D."
"Fernandez,J.","Margolis,H."
"Fernandez,J.","Kim,J.P."
"Chen,S.","Zou,J.C."
"Chen,S.","Morris,T."
"Chen,S.","Hyams,K.C."
"Chen,S.","Ismay,S."
"Chen,S.","Lifson,J.D."
"Chen,S.","Hess,G."
"Chen,S.","Foung,S.K."
"Chen,S.","Thomas,H."
"Chen,S.","Bradley,D."
"Chen,S.","Margolis,H."
"Chen,S.","Kim,J.P."
"Zou,J.C.","Morris,T."
"Zou,J.C.","Hyams,K.C."
"Zou,J.C.","Ismay,S."
"Zou,J.C.","Lifson,J.D."
"Zou,J.C.","Hess,G."
"Zou,J.C.","Foung,S.K."
"Zou,J.C.","Thomas,H."
"Zou,J.C.","Bradley,D."
"Zou,J.C.","Margolis,H."
"Zou,J.C.","Kim,J.P."
"Morris,T.","Hyams,K.C."
"Morris,T.","Ismay,S."
"Morris,T.","Lifson,J.D."
"Morris,T.","Hess,G."
"Morris,T.","Foung,S.K."
"Morris,T.","Thomas,H."
"Morris,T.","Bradley,D."
"Morris,T.","Margolis,H."
"Morris,T.","Kim,J.P."
"Hyams,K.C.","Ismay,S."
"Hyams,K.C.","Lifson,J.D."
"Hyams,K.C.","Hess,G."
"Hyams,K.C.","Foung,S.K."
"Hyams,K.C.","Thomas,H."
"Hyams,K.C.","Bradley,D."
"Hyams,K.C.","Margolis,H."
"Hyams,K.C.","Kim,J.P."
"Ismay,S.","Lifson,J.D."
"Ismay,S.","Hess,G."
"Ismay,S.","Foung,S.K."
"Ismay,S.","Thomas,H."
"Ismay,S.","Bradley,D."
"Ismay,S.","Margolis,H."
"Ismay,S.","Kim,J.P."
"Lifson,J.D.","Hess,G."
"Lifson,J.D.","Foung,S.K."
"Lifson,J.D.","Thomas,H."
"Lifson,J.D.","Bradley,D."
"Lifson,J.D.","Margolis,H."
"Lifson,J.D.","Kim,J.P."
"Hess,G.","Foung,S.K."
"Hess,G.","Thomas,H."
"Hess,G.","Bradley,D."
"Hess,G.","Margolis,H."
"Hess,G.","Kim,J.P."
"Foung,S.K.","Thomas,H."
"Foung,S.K.","Bradley,D."
"Foung,S.K.","Margolis,H."
"Foung,S.K.","Kim,J.P."
"Thomas,H.","Bradley,D."
"Thomas,H.","Margolis,H."
"Thomas,H.","Kim,J.P."
"Bradley,D.","Margolis,H."
"Bradley,D.","Kim,J.P."
"Margolis,H.","Kim,J.P."
"Uchio,E.","Yamazaki,K."
"Uchio,E.","Aoki,K."
"Uchio,E.","Ohno,S."
"Yamazaki,K.","Aoki,K."
"Yamazaki,K.","Ohno,S."
"Aoki,K.","Ohno,S."
"Yamazaki,K.","Oseto,M."
"Yamazaki,K.","Seto,Y."
"Yamazaki,K.","Utagawa,E."
"Yamazaki,K.","Kimoto,T."
"Yamazaki,K.","Minekawa,Y."
"Yamazaki,K.","Inouye,S."
"Yamazaki,K.","Yamazaki,S."
"Yamazaki,K.","Okuno,Y."
"Yamazaki,K.","Oishi,I."
"Oseto,M.","Seto,Y."
"Oseto,M.","Utagawa,E."
"Oseto,M.","Kimoto,T."
"Oseto,M.","Minekawa,Y."
"Oseto,M.","Inouye,S."
"Oseto,M.","Yamazaki,S."
"Oseto,M.","Okuno,Y."
"Oseto,M.","Oishi,I."
"Seto,Y.","Utagawa,E."
"Seto,Y.","Kimoto,T."
"Seto,Y.","Minekawa,Y."
"Seto,Y.","Inouye,S."
"Seto,Y.","Yamazaki,S."
"Seto,Y.","Okuno,Y."
"Seto,Y.","Oishi,I."
"Utagawa,E.","Kimoto,T."
"Utagawa,E.","Minekawa,Y."
"Utagawa,E.","Inouye,S."
"Utagawa,E.","Yamazaki,S."
"Utagawa,E.","Okuno,Y."
"Utagawa,E.","Oishi,I."
"Kimoto,T.","Minekawa,Y."
"Kimoto,T.","Inouye,S."
"Kimoto,T.","Yamazaki,S."
"Kimoto,T.","Okuno,Y."
"Kimoto,T.","Oishi,I."
"Minekawa,Y.","Inouye,S."
"Minekawa,Y.","Yamazaki,S."
"Minekawa,Y.","Okuno,Y."
"Minekawa,Y.","Oishi,I."
"Inouye,S.","Yamazaki,S."
"Inouye,S.","Okuno,Y."
"Inouye,S.","Oishi,I."
"Yamazaki,S.","Okuno,Y."
"Yamazaki,S.","Oishi,I."
"Okuno,Y.","Oishi,I."
"Sugieda,M.","Nakajima,K."
"Sugieda,M.","Nakajima,S."
"Nakajima,K.","Nakajima,S."
"Mori,A.","Yamada,K."
"Mori,A.","Kimura,J."
"Mori,A.","Koide,T."
"Mori,A.","Yuasa,S."
"Mori,A.","Yamada,E."
"Mori,A.","Miyamura,T."
"Yamada,K.","Kimura,J."
"Yamada,K.","Koide,T."
"Yamada,K.","Yuasa,S."
"Yamada,K.","Yamada,E."
"Yamada,K.","Miyamura,T."
"Kimura,J.","Koide,T."
"Kimura,J.","Yuasa,S."
"Kimura,J.","Yamada,E."
"Kimura,J.","Miyamura,T."
"Koide,T.","Yuasa,S."
"Koide,T.","Yamada,E."
"Koide,T.","Miyamura,T."
"Yuasa,S.","Yamada,E."
"Yuasa,S.","Miyamura,T."
"Yamada,E.","Miyamura,T."
"Jang,H.K.","Ono,M."
"Jang,H.K.","Kato,Y."
"Jang,H.K.","Tohya,Y."
"Jang,H.K.","Niikura,M."
"Jang,H.K.","Mikami,T."
"Ono,M.","Kato,Y."
"Ono,M.","Tohya,Y."
"Ono,M.","Niikura,M."
"Ono,M.","Mikami,T."
"Kato,Y.","Tohya,Y."
