"","Auth","tax_id"
"541","Carneiro-Proietti,A.B.F.",11676
"542","Kroon,E.G.",11676
"543","Barbosa,E.F.",11676
"544","Barbosa,E.F.",11676
"545","Barbosa,E.F.",11676
"546","Carneiro-Proietti,A.B.F.",11676
"547","Carneiro-Proietti,A.B.F.",11676
"548","Kroon,E.G.",11676
"549","Wright,P.J.",150080
"550","Wright,P.J.",150080
"551","Wright,P.J.",150080
"552","Cauchi,M.R.",150080
"553","Cauchi,M.R.",150080
"554","Doultree,J.C.",150080
"555","Jackson,R.J.",10273
"556","Palhan,V.B.",271108
"557","Guan,Y.",380344
"558","Guan,Y.",380344
"559","Guan,Y.",380344
"560","Guan,Y.",380344
"561","Guan,Y.",380344
"562","Shortridge,K.F.",380344
"563","Shortridge,K.F.",380344
"564","Shortridge,K.F.",380344
"565","Shortridge,K.F.",380344
"566","Krauss,S.",380344
"567","Krauss,S.",380344
"568","Krauss,S.",380344
"569","Li,P.H.",380344
"570","Li,P.H.",380344
"571","Kawaoka,Y.",380344
"572","Pearson,R.E.",45764
"573","Pearson,R.E.",45764
"574","Hamilton,P.T.",45764
"575","Griffiths,D.J.",46024
"576","Griffiths,D.J.",46024
"577","Griffiths,D.J.",46024
"578","Venables,P.J.W.",46024
"579","Venables,P.J.W.",46024
"580","Weiss,R.A.",46024
"581","Guan,Y.",380349
"582","Guan,Y.",380349
"583","Guan,Y.",380349
"584","Guan,Y.",380349
"585","Guan,Y.",380349
"586","Shortridge,K.F.",380349
"587","Shortridge,K.F.",380349
"588","Shortridge,K.F.",380349
"589","Shortridge,K.F.",380349
"590","Krauss,S.",380349
"591","Krauss,S.",380349
"592","Krauss,S.",380349
"593","Li,P.H.",380349
"594","Li,P.H.",380349
"595","Kawaoka,Y.",380349
"596","Deom,C.M.",12240
"597","Deom,C.M.",12240
"598","Silver,S.",12240
"599","Zhu,H.T.",59380
"600","Zhu,H.T.",59380
"601","Fang,R.X.",59380
"602","Guan,Y.",380341
"603","Guan,Y.",380341
"604","Guan,Y.",380341
"605","Guan,Y.",380341
"606","Guan,Y.",380341
"607","Shortridge,K.F.",380341
"608","Shortridge,K.F.",380341
"609","Shortridge,K.F.",380341
"610","Shortridge,K.F.",380341
"611","Krauss,S.",380341
"612","Krauss,S.",380341
"613","Krauss,S.",380341
"614","Li,P.H.",380341
"615","Li,P.H.",380341
"616","Kawaoka,Y.",380341
"617","Boccard,F.",10742
"618","Roth,W.W.",11676
"619","Roth,W.W.",11676
