"","Auth1","Auth2"
"571","Kawaoka,Y.","Webster,R.G."
"572","Pearson,R.E.","Hamilton,P.T."
"573","Pearson,R.E.","Little,M.C."
"574","Hamilton,P.T.","Little,M.C."
"575","Griffiths,D.J.","Venables,P.J.W."
"576","Griffiths,D.J.","Weiss,R.A."
"577","Griffiths,D.J.","Boyd,M.T."
"578","Venables,P.J.W.","Weiss,R.A."
"579","Venables,P.J.W.","Boyd,M.T."
"580","Weiss,R.A.","Boyd,M.T."
"581","Guan,Y.","Shortridge,K.F."
"582","Guan,Y.","Krauss,S."
"583","Guan,Y.","Li,P.H."
"584","Guan,Y.","Kawaoka,Y."
"585","Guan,Y.","Webster,R.G."
"586","Shortridge,K.F.","Krauss,S."
"587","Shortridge,K.F.","Li,P.H."
"588","Shortridge,K.F.","Kawaoka,Y."
"589","Shortridge,K.F.","Webster,R.G."
"590","Krauss,S.","Li,P.H."
"591","Krauss,S.","Kawaoka,Y."
"592","Krauss,S.","Webster,R.G."
"593","Li,P.H.","Kawaoka,Y."
"594","Li,P.H.","Webster,R.G."
"595","Kawaoka,Y.","Webster,R.G."
"596","Deom,C.M.","Silver,S."
"597","Deom,C.M.","Quan,S."
"598","Silver,S.","Quan,S."
"599","Zhu,H.T.","Fang,R.X."
"600","Zhu,H.T.","Chen,X.Y."
"601","Fang,R.X.","Chen,X.Y."
"602","Guan,Y.","Shortridge,K.F."
"603","Guan,Y.","Krauss,S."
"604","Guan,Y.","Li,P.H."
"605","Guan,Y.","Kawaoka,Y."
"606","Guan,Y.","Webster,R.G."
"607","Shortridge,K.F.","Krauss,S."
"608","Shortridge,K.F.","Li,P.H."
"609","Shortridge,K.F.","Kawaoka,Y."
"610","Shortridge,K.F.","Webster,R.G."
"611","Krauss,S.","Li,P.H."
"612","Krauss,S.","Kawaoka,Y."
"613","Krauss,S.","Webster,R.G."
"614","Li,P.H.","Kawaoka,Y."
"615","Li,P.H.","Webster,R.G."
"616","Kawaoka,Y.","Webster,R.G."
"617","Boccard,F.","Clerget,M."
"618","Roth,W.W.","Zuberi,J.A."
"619","Roth,W.W.","Stringer,H.G."
"620","Roth,W.W.","Davidson,S.K."
"621","Roth,W.W.","Bond,C.V."
"622","Zuberi,J.A.","Stringer,H.G."
"623","Zuberi,J.A.","Davidson,S.K."
"624","Zuberi,J.A.","Bond,C.V."
"625","Stringer,H.G.","Davidson,S.K."
"626","Stringer,H.G.","Bond,C.V."
"627","Davidson,S.K.","Bond,C.V."
"628","Roth,W.W.","Zuberi,J.A."
"629","Roth,W.W.","Stringer,H.G."
"630","Roth,W.W.","Davidson,S.K."
"631","Roth,W.W.","Bond,C.V."
"632","Zuberi,J.A.","Stringer,H.G."
"633","Zuberi,J.A.","Davidson,S.K."
"634","Zuberi,J.A.","Bond,C.V."
"635","Stringer,H.G.","Davidson,S.K."
"636","Stringer,H.G.","Bond,C.V."
"637","Davidson,S.K.","Bond,C.V."
"638","Guan,Y.","Shortridge,K.F."
"639","Guan,Y.","Krauss,S."
"640","Guan,Y.","Li,P.H."
"641","Guan,Y.","Kawaoka,Y."
"642","Guan,Y.","Webster,R.G."
"643","Shortridge,K.F.","Krauss,S."
"644","Shortridge,K.F.","Li,P.H."
"645","Shortridge,K.F.","Kawaoka,Y."
"646","Shortridge,K.F.","Webster,R.G."
"647","Krauss,S.","Li,P.H."
"648","Krauss,S.","Kawaoka,Y."
"649","Krauss,S.","Webster,R.G."
"650","Li,P.H.","Kawaoka,Y."
"651","Li,P.H.","Webster,R.G."
